"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2prMmRWOHdZVzVhYWpkSE1EVjZVRU0wVUdWYVQxRRAB","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",5,"Highly recommended this Place! I had severe tooth pain while on holiday and was seen immediately. The dentists were very friendly and highly competent. An infected tooth root was quickly diagnosed, an X-ray taken, and everything explained to me in excellent English.
The next day, a specialist performed a root canal treatment and filling. Very professional and efficient – my holiday was saved. Thank you to the entire team, I would definitely recommend this clinic!","Annika J.","118274676416889814107","https://www.google.com/maps/contrib/118274676416889814107/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKR7R1WgcBxlDtSTeXYPbIWv-Xl70Kd3CflfNRIp9YgrmvvXA=w36-h36-p-rp-mo-ba12-br100",1,43,4,"4 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xrdE0wWnNUSE5MZVZaWVZVeENWMlJzVjFWb1owRRAB","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",5,"No exaggeration this is the best dental clinic in Chiang Mai, While the pricing is very affordable the quality of service is still that of the highest standards. I have visited dentists from Australia to Germany and I can honestly say that Ben that practices at this clinic has knowledge, attentiveness and attention to detail second to none. Highly recommend and I will be stopping in for a clean and a check up everytime I am in Chiang Mai. This is a terrific establishment that deserves a sixth or even seventh star for it's wonderful staff.","King Chopper","113702124770402434448","https://www.google.com/maps/contrib/113702124770402434448/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWL4lI2dC9Y7LFfU76Nzlsd5vfdvlRCBeP6245hpzngZA8fmAVY=w36-h36-p-rp-mo-ba12-br100",1,46,0,"5 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xaMkxXUjBhbTlrWmxReVZreEhTMjlFY0ZKWWVrRRAB","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",5,"Very modern, friendly staff and great prices. Happy to have found this clinic right next to my condo","Stefanie Korenyi (Life Beyond Borders)","101188345602733394034","https://www.google.com/maps/contrib/101188345602733394034/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU8AGlzQCrvz0xv4nFvUpirMZZZL7pJQdf8VXCxi4ZIP7h09guITg=w36-h36-p-rp-mo-ba12-br100",1,17,3,"4 days ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURlNzdfMjBBRRAB","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",1,"When they are gossiping and laughing while they're working it's unprofessional and i also notice right away that they are much less careful because they're not paying attention to the customer while they are having fun. Especially the assistant is stabbing me with suction way too hard and rough even when she's focussing on her work, when she's talking and laughing she completely forget what she's doing and even shaking my body with her laughing as she's leaning into me, while the dentist is working on my teeth. The male dentist not only didn't stop them but instead joined them in the gossip.

Also the cost that the dentist told me up front and the cost i was charged was (ever so) slightly different, not a big deal but still unprofessional and of course they didn't care at all when I mentioned it.

I've heard the female dentist in this shop is more professional, but haven't met her yet so not sure.

I was gonna mention all this to the dentist before leaving, but he quickly walked away before I could say anything so instead i leave this long review here.","Arne Lap - Lapzor","104923804029096267967","https://www.google.com/maps/contrib/104923804029096267967/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWZIKZBO29qhQozLtosDISRgA5YstN5G3zVVS-IP9QwAGWKNN9kpg=w36-h36-p-rp-mo-ba12-br100",1,110,127,"Edited 3 years ago","","relevant"
"ChZDSUhNMG9nS0VMM01sZFhtaS15a0ZREAE","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",5,"Good all","Ponkingdom GOD","109155077140204264816","https://www.google.com/maps/contrib/109155077140204264816/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV2PY1pOG_8mba4h90uidktrjWeXu0qS5ryH2gQPEsLizfnZDea=w36-h36-p-rp-mo-br100",0,13,4,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUQ1c08zLTl3RRAB","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",5,"Goof","Thidapha Srathanghaew","115687806630890699550","https://www.google.com/maps/contrib/115687806630890699550/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUtixh8EvHvn6XemCLbNmImtwJluOk4NtN86qKyxm0COV_CYUo=w36-h36-p-rp-mo-br100",0,1,0,"2 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21SNlRHbzBSSHB3VVZkdGVIVkdTMFZoUWs5eFNuYxAB","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",5,"I was very impressed. The doctor and all the staff provided excellent and friendly service. They gave detailed advice, were gentle during the dental work, and constantly checked on my condition, which made me feel less anxious. The clinic was clean, the atmosphere was pleasant, and the equipment looked modern. The price was reasonable.","ชุติกาญจน์ พลชัยยา.","113345859465665614366","https://www.google.com/maps/contrib/113345859465665614366/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUmGX6Ft5rJun-PKu5prSYRSkjsLaAjW8lD2eJS96FcNk0D-G5n=w36-h36-p-rp-mo-br100",0,3,0,"a week ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2s5R1RrNVZla2d5VUd0clNHMW1VMXBuWlRSV2NXYxAB","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",5,"The staff were very helpful and provided easy-to-understand advice and recommendations. The doctor was lovely ☺️","Chayanan Jaisuwan","105767404531453104126","https://www.google.com/maps/contrib/105767404531453104126/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIhCN-JwKS_nTXeElHeUEuc0-XQx9H1cFtL4_Xt5D4yPM04lg=w36-h36-p-rp-mo-br100",0,3,0,"2 weeks ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2t3eVRsaGtaMjFaUWxZMFFqazFRa0pZTnpaNlExRRAB","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",1,"Can I give it absolutely no stars? I went for a teeth cleaning, and the male dentist was incredibly heavy-handed. It was so heavy-handed that I had to take painkillers when I got home because the pain radiated all the way to my jaw. He was so rough throughout the process, he didn't even ask if I was in pain. The pain was excruciating, radiating from my gums to my jaw. I've never had a teeth cleaning that hurt this much anywhere else. One visit was more than enough.","มิซาเอะ","104210910963096717658","https://www.google.com/maps/contrib/104210910963096717658/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXMeq8Agd42mNXPNKJPfXmZ5F4d5lpy94B3OUR6iJRXYArJxTIZ=w36-h36-p-rp-mo-br100",0,4,4,"a month ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT210dlkyNHdiM2R3TmpSamRYaHdNbWQzYzNOMFNrRRAB","0x30da3bb9c6a74553:0xbdfea454a932ee83","i Smile Plus dentalclinic",5,"This was my first time using their services, and I was very impressed. The female doctor was very gentle, spoke kindly, constantly checked in, and gave excellent advice. Great service, I'm very impressed.","Wannisa Chanphenmongkhon","110249464710773096266","https://www.google.com/maps/contrib/110249464710773096266/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVQpn5GvSf31EYh576boyRHppoY86Cu-OAnwWh4C4EFos8sRJLzgA=w36-h36-p-rp-mo-ba12-br100",1,14,18,"9 months ago","","relevant"
