"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT21oYU9YWXhYMFowVG1sMFUwVnNkelJaVEhZd2VtYxAB","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",5,"Thank you for the excellent care and professionalism during my visit. Your attention to detail, gentle approach, and clear communication made the experience comfortable and reassuring. I truly appreciate the thorough explanation of procedures and your commitment to patient well-being. Also the staffs are friendly and lovely, I’ll gladly recommend your practice to others. Absolutely, our family will come back again.","Sukanya Arunpan","117572972048495792528","https://www.google.com/maps/contrib/117572972048495792528/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocITtbz9iJHHsW6eS1hC4ag-0-GdSeHcjXa6U0tF8m1w08nrAg=w36-h36-p-rp-mo-br100",0,5,1,"9 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUR4enJpTS13RRAB","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",5,"Friendly and good service. I'd recommended","kuma O","100817545130771196279","https://www.google.com/maps/contrib/100817545130771196279/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWJmuNAA4PbU67mGGh2CpT6G7_3CAVDqwUjRK6s-VXz9vbE3nAH=w36-h36-p-rp-mo-ba12-br100",1,28,58,"3 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURoNjUyMG13RRAB","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",5,"Fast service and upfront about price.","Kao thanya","102628736542182984097","https://www.google.com/maps/contrib/102628736542182984097/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIrZl0Jfs9yV7wGCMWkWiFjbvSaSN_zi7PRrzl1BJiGQSbKf_o=w36-h36-p-rp-mo-br100",0,2,1,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNSeGZpaVBREAE","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",5,"Good service krub","พนาสันต์ ตรีเหรา","106369092433508488464","https://www.google.com/maps/contrib/106369092433508488464/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUk1PUonZJjpuD7-LQGceLaZumLbr8_D131LIza1DbEOCVJci0Y=w36-h36-p-rp-mo-br100",0,2,0,"3 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURqMDlxSWFBEAE","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",5,"Fast and good services","Thanee Ananitthi","101294966853871846513","https://www.google.com/maps/contrib/101294966853871846513/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKBcYqEm4_r2qdyuT12OQlgb60hZpaPaXsgR3EgCa5_OH-0LpM=w36-h36-p-rp-mo-br100",0,5,1,"2 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUNSaHE3N1dREAE","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",5,"I chose this clinic for my orthodontic treatment and oral health care because I read reviews on their page saying the dentist was very gentle. After experiencing their services, I was very impressed with the dentist and the staff. I've had wisdom tooth extraction, other tooth extractions, and teeth cleaning done here, and it wasn't painful at all, just like the reviews said. All the dentists are very gentle, the service is excellent, and the clinic is clean. There might be times when you have to wait a while, but that's understandable given the high volume of patients. The staff are all very dedicated and provide the best possible service. Overall, I give it 5 stars! ⭐️⭐️⭐️⭐️⭐️","Kankundhara Woradhumthaya","104114270589958548496","https://www.google.com/maps/contrib/104114270589958548496/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIhwjJO8ATYVfc4IROW2udH38BG8ksmbmrGvvrmnZXN4BOFZg=w36-h36-p-rp-mo-br100",0,1,1,"3 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xobWJ6ZG9OR00xVUhkUmNETk1XV0ZLUVZkeFdHYxAB","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",5,"I came to have my wisdom teeth extracted with Dr. Som💖. She has a very gentle hand. I didn't even feel the anesthetic injection. Before I knew it, two of my teeth🦷 had been extracted. The price was also reasonable🫶🏻 …","KK J","110779454922921124643","https://www.google.com/maps/contrib/110779454922921124643/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocI2ffkIlAhuzvZsieXqd7h1x0iQyuxSu2tg-zle7SmAYEnba-0=w36-h36-p-rp-mo-br100",0,10,7,"9 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25GNmEyUk5TVWRyU0VOQmRHZzJhVGxtTFd0cU0yYxAB","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",1,"I've been getting braces here for about two years. They keep me on a tight schedule, charging me every single fee. I was charged 2,500 baht for two front teeth that fell out the first week and haven't been replaced, and I've only had one installed to this day. Lately, their appointment management has been terrible. Sometimes I'd get an appointment at 5:00 PM, but sometimes I'd get it done at 6:30 PM. I'm confused about why they'd schedule an appointment if I had to wait so long. The last time I booked an appointment, they never contacted me to confirm. A full month has passed and nothing has happened. So today, I've decided to change clinics, and most importantly, they're offering free teeth fittings. The dentist at the new clinic is confused about how they're installing the braces. I guarantee that this review is honest and sincere. Choose a good clinic before making the same mistake I did.","Siwakiat Suwanvilaikun","100038514611686203845","https://www.google.com/maps/contrib/100038514611686203845/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLkDXaRUvN1ARKl-IrJ2OSeCbSlOIdBTNrJ_AwhFzcG8hJMqA=w36-h36-p-rp-mo-br100",0,3,2,"6 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNwN3Y3LTlnRRAB","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",5,"Today I had the opportunity to get my tartar scraped off and a fluoride coating applied. The dentist was so lovely and taught me how to brush and floss my teeth. The staff were kind, lovely, and provided excellent service. The place was clean, making it my go-to clinic. ♥️✨","Cholhathai Construction 2020","114777589687123119875","https://www.google.com/maps/contrib/114777589687123119875/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJiC4Ri1683oIabpFuOarVDt3kS51I_QZP7PVzP8C-4hv6MuQ=w36-h36-p-rp-mo-br100",0,2,7,"2 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURscmF1QWRBEAE","0x30e28fd78ef133b9:0xce218a903696de83","Chic Smile Dental Clinic by Dr.PinTz",3,"If you're looking for dental scaling, I don't recommend it. The wait is incredibly long. I made an appointment for 11:00 AM and arrived around 10:40 AM. I had the procedure done at 11:50 AM. It took ages, and the scaling was expensive. I only got a little bit removed, and it cost over 1,000 baht.","TEERAWAT 3333","100233607107955946329","https://www.google.com/maps/contrib/100233607107955946329/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXeEKDqK7cmUEyK1ZCCKgVIZjTQpogB0uJ3UUz81FHHqpPR1_o=w36-h36-p-rp-mo-ba12-br100",1,66,225,"2 years ago","","relevant"
