"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"ChZDSUhNMG9nS0VJQ0FnSUNiaFBuR1FnEAE","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"This dental clinic is very professional team.
The dentists work as a team for patient’s treatment process.

I love the way they consult my case, they propose the treatment plan very smart and carefully.

The last but not least, their space is very clean and I can smell the fresh air - it’s good ventilation machine.

Btw, who want a private space for waiting or who really scare for dentist tool sound, they provide you for another waiting area just 10sec by walking.

I’m really recommend this dental clinic.","Thanapolpoj","107218434234250788867","https://www.google.com/maps/contrib/107218434234250788867/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJFQo7WBKsbavSghYI_ZdoU_OWNwxXf-Tfz8fSJu_D1EDbnyg=w36-h36-p-rp-mo-br100",0,7,17,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2tzMVFsWnFaalZ3VFRndGNVTklWekExZVY4MU0wRRAB","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"Had my wisdom teeth removed. They took their time to explain everything with great detail and care. Procedure was painless. Excellent nurses and doctors.","sandy kay","100354598325001072794","https://www.google.com/maps/contrib/100354598325001072794/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKkHU-sbQSiXWgRJcuJE-0Cg3A2JqrilOukARcl1elzAxyskg=w36-h36-p-rp-mo-br100",0,9,2,"3 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURBeW9MUHZnRRAB","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"I have been a patient at this clinic for more than five years, and I’m impressed every time I come for dental treatment. The dentists here are not only highly skilled but also pay close attention to the details of their patients’ teeth. The equipment is modern, and the clinic is hygienic.","Wananorn L.","115661809863543326191","https://www.google.com/maps/contrib/115661809863543326191/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocL9MSgMBecSugCQ36NwITWWT5QgUH--76zoB1sinMDu5I3bag=w36-h36-p-rp-mo-br100",0,3,5,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21wT1pUVnhXRGROYWxWVVdFd3dSbmxtTVU1bFFuYxAB","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"The clinic is very clean and hygienic.  They use high-tech and modern tools  and equipments.","Y. Jan","106816070230466639985","https://www.google.com/maps/contrib/106816070230466639985/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWFftljjb70l3xWKKx5hNjga1CUu8x2Eylkc1X4Gw2p230At72E=w36-h36-p-rp-mo-br100",0,4,3,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTUNBNjUtbzBnRRAB","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"Super clean and great service. Dr. Jeerapa is my usual dentist. Dr. Fon removed my tooth and handled my fear super well. Even had me hold a stuffed animal 🤣 The nurses are all experts too. …","Nina Podjamard","111911244428986999957","https://www.google.com/maps/contrib/111911244428986999957/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXsRcKMABp9GoTNg2CthpmRBf1Qcj6dK5Wr-DukHBaSh-wW_SnOtQ=w36-h36-p-rp-mo-ba12-br100",1,173,498,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURWeXFQM2t3RRAB","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"Done the crown with Dr. Chalermpol many years ago.  Condition still okay.  Today do filling with another dentist","Coach Look Yee","112815770854290345854","https://www.google.com/maps/contrib/112815770854290345854/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWsVtljyObzARxm17FaC7-xWz4tL_8m-C14JTu2a3VrlJ02K56O=w36-h36-p-rp-mo-ba12-br100",1,299,1325,"2 years ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUN2LV9UWlJnEAE","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"I had a bad dental service in Singapore that caused me one sided headache for a month before team of doctors at Art Dental Studio fixed the problem for me. I am impressed to learn that my case is taken care by a team of doctors. As I have to travel most of the times, the service staffs are kind, patient, well mannered and able to give you operation guidances and timelines to suit you and the doctors before your dental operation. Thanks all of you for great services. 5 stars are never enough.","neramitl","112250713663639436054","https://www.google.com/maps/contrib/112250713663639436054/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKj4YjPEtmDznjfYP2svO-YMvz7H-DdYD1v9upznaRpFytcHg=w36-h36-p-rp-mo-br100",0,3,0,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUM1emRqRldREAE","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"Went for cleaning result is fantastic finally I am very happy. Excellent doctor highly recommended.","_aaommiiee_","102290455164152557868","https://www.google.com/maps/contrib/102290455164152557868/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjV_BIskn6f1x-kfh83tBVhPYiZOlfbrerEKX4NGL9iEhszn_Js=w36-h36-p-rp-mo-br100",0,6,2,"2 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUM3bGJfVnJnRRAB","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"I had an exceptional experience with Dr. Chalermpon. From the moment I walked in, the staff was warm and welcoming. Dr. Chalermpon is highly skilled and took the time to explain every step of my treatment. The care I received was top-notch, with a focus on both comfort and quality. The entire team is professional, friendly, and attentive. The clinic is modern, using the latest technology, which made the entire process comfortable and efficient. I highly recommend Art dental studio clinic.","Panchanok Jantirut","104439750718850228514","https://www.google.com/maps/contrib/104439750718850228514/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKeufwTP7OEMHwq7lbioW6BmAqaQFk4FraM6WIdruicm5XKSzE=w36-h36-p-rp-mo-br100",0,3,7,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25oRVV6VTFZVUZyVTFCNFgyazJSWEJGVjNWeFUwRRAB","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"So clean and the dentist that i got service is very friendly, she doing very gentle not any hurt at all","Sorasak Hiranwadee","106964955870669081413","https://www.google.com/maps/contrib/106964955870669081413/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWVfrjtGWAP05VHQue5Sh31zQ2oxf5pwvLoatD4Q7DDwleYY3AF=w36-h36-p-rp-mo-br100",0,6,0,"7 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUM3aktPelJREAE","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"Doctor Parnrada is very nice and helpful for everytime I come here. Very recommend to come to this great and clean Dentist clinic","Chartsiri Sirikunakorn","103305376130928796723","https://www.google.com/maps/contrib/103305376130928796723/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLWkGGdpaigr5DmIARgWOui88yQEmA6lbonVvy9b1O-LcbH_A=w36-h36-p-rp-mo-br100",0,6,2,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURianNUZ1NBEAE","0x30e29edc953d2431:0xf79aee45324b2d6e","Art Dental Studio clinic",5,"Had a GBT airflow teeth cleaning, removed all the coffee stains in less than an hour. The doctor was very kind and communicative, welcomes any questions I had and went out  of her way to make sure I understand how I am brushing my teeth, and how to keep them clean in the future! Definitely a place to get your teeth cleaned regularly.","riddhavadi riddhagani","104870441273708658445","https://www.google.com/maps/contrib/104870441273708658445/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKKjarINBkumVeX6Y5ddBrmbPY9b7XdFlB9Sco50mrxGXerKw=w36-h36-p-rp-mo-ba12-br100",1,10,13,"a year ago","","relevant"
