"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2tvMVVHUldVa1Z1V1VoNGVGWnlVMTlHWkMxUkxYYxAB","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",1,"Was there not too long ago. The customer service call went horribly. I called in being late, but definitely coming as fast as I could since the traffic was so bad. I understand it was from my side that it was my fault and it must be quite frustrating for the reception to move my schedule. But the words she used were unacceptable, her tone was incredibly “pissed off”. She exclaimed unprofessionally, which with the price I am paying, I was surprised. “Huh?!” “What..” followed by an almost whiny tired voice.
I felt quite threatened to go back to that hospital now. So foreigners, do research before you go.","Bumble Beeh","113379595541810640790","https://www.google.com/maps/contrib/113379595541810640790/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocICRm1yH5E4tgNBM1ltFi50GjsmRfheLDbv2Drtrb2ZVEDCZA=w36-h36-p-rp-mo-br100",0,1,0,"5 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNkamNhdmp3RRAB","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",5,"Exceptional Dental Care Experience in Bangkok

As an Austrian traveler who encountered an unexpected dental mishap, I found myself in a situation that could have easily derailed my journey.
While brushing my teeth, my front tooth crown just fell off at 3 am in the morning. What a nightmare!
At least i could recover the crown and i had 2 options - fly home and get the work done at my dentist or try it here.
I was very fortunate to find outstanding care at the Dental Hospital.

The next morning, thanks to the prompt and professional service at this clinic, my worries were swiftly put to rest.
Upon contacting the clinic, they demonstrated understanding the urgency of my situation, scheduling an appointment within the next hour.
Arriving at the clinic, I was friendly greeted by the ladies at the reception who had my information already available from previous visits (in the past I went there twice for routine dental cleaning). This was eliminating any unnecessary paperwork.

During my consultation, the dentist thoroughly assessed the situation, taking the time to listen to my concerns and explaining the treatment options available to me. His expertise and reassurance really gave me confidence that I was in capable hands and every aspect of my dental health was examined, including X-rays.
The dentist not only addressed the immediate issue of the fallen crown but also took the time to discuss preventive measures and options for ongoing care.

The clinic itself is also very impressive, with modern facilities spread across multiple levels, each dedicated to different aspects of dentistry. This setup gives me the confidence that whatever dental concern one might have, it could be addressed under one roof.

During my visit, I received not only the necessary treatment but also a complete dental cleaning. The professionalism by the dentist and the assisting personnel, was truly commendable.

What stood out the most was the genuine care and attention given to me as a foreigner in a foreign land. Despite the language barrier, the staff ensured clear communication, making me feel comfortable and well taken care of throughout the process.

The entire experience, from the initial consultation to the final result was exceptional. And to top it off, the pricing was fair and transparent, offering great value for the high-quality service received.

Also worth mentioning: Not only did they provide me with all the necessary X-rays via email for my records, but they also offered a complimentary shuttle service to and from the nearest BTS station, making transportation hassle-free, if necessary.

Of course I was lucky because my case was not the worst case scenario.
As someone with a long history of dental problems, i know that there are many cases where you will need more extensive treatments. And a dentist is not a magician who can fix all your dental problems in 3 hours.
But if you ever find yourself in need of dental care in Bangkok, I wholeheartedly recommend this clinic. Whether for emergencies or routine check-ups, you can trust that you'll be in the hands of skilled professionals .","Silvia Franz","115536939005526700451","https://www.google.com/maps/contrib/115536939005526700451/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKT-ajYb4B-xZHOdyp9j9mjhtHvvMWUCU5qdLgJT67SfeLKxw=w36-h36-p-rp-mo-br100",0,8,2,"2 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25KTVRGZEJVMnB5YkhSZlowVk1SVTh3Y0hBMGRtYxAB","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",3,"Facility is clean and expensive. But they have THE WORST time management. Had to wait 40 minutes for my doctor today. Since relocation, last 5 times i came had to wait at least 30 minutes. Pretty funny at this point.","aeilein k","108848506237626571907","https://www.google.com/maps/contrib/108848506237626571907/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIUTSf79MpQ9Rmbv-Ksue6bIaU22NVybcepC78M9HTE5aVFrQ=w36-h36-p-rp-mo-ba12-br100",1,15,3,"4 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURad1llTFBnEAE","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",2,"2 wisdom teeth removed and cost
28000 THB . There is no receptionist at information. The doctor and performance is ok , but price is quite premium. FYI.
The customer takecare service is not good.","Khin Nyo Nyi Htwe","114360695503209692771","https://www.google.com/maps/contrib/114360695503209692771/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWkWZXqwUql0ynUqoHq3mi6dWT-gaZYWDGQzdJiHid71rryoAEMdA=w36-h36-p-rp-mo-br100",0,4,4,"2 years ago","2 wisdom teeth removed and cost
28000 THB . There is no receptionist at information. The doctor and performance is ok , but price is quite premium. FYI.
The customer takecare service is not good.","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25aRGJVMHdXa2xrY1Y5TWRFcHdkSG81VGtWa1gyYxAB","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",5,"Had to get a root canal and replace a crown and ended up spending several days at the clinic going from room to room with all the procedures including x rays and cleanings, etc, but all along the way, the whole staff was professional and courteous, and I am very satisfied with all the work done.

This was the second time coming here from Singapore, and will continue to come back whenever needed","burke raby","111099238638894775154","https://www.google.com/maps/contrib/111099238638894775154/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXJf006bvta61pJrPVrlPLR5lFyG8O11MjiTkeo3s6pyqzR4BZPfw=w36-h36-p-rp-mo-br100",0,12,0,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xCMmNVWmlRbmxHYjJaMmVIQTFjek0wYTI1WGRrRRAB","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",1,"Been a customer for over two decades - after relocating to new premisses the service has plummeted and prices shot up. Dr Naulcharee make you feel very unwelcome and her frustration with her job cleaning teeth she let known to her clients. I now will follow many of my friends to alternative dentist ...today was definitely my last visit to dental hospital !","Stig V.A.","115737390746594809149","https://www.google.com/maps/contrib/115737390746594809149/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJCeLR_8ibDZ_jrrWoK6qT-Pp6DtURHTI3Y9O37oBDwSi0oLw=w36-h36-p-rp-mo-ba12-br100",1,19,19,"10 months ago","","relevant"
"ChdDSUhNMG9nS0VNdnI4cHZEa3BxaDJ3RRAB","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",2,"The experience with the doctors were not bad but the waiting times were ridiculous. After a brisk check up and cleaning we had to wait for over two hours to get my fillings done. We wasted about half a day in the clinic just waiting and promptly left with fillings undone as we had other things to attend to. Maybe there is a doctor undrrstaffing issue, but there were plenty of nurses that could not do much for our concerns.","Aye Myat Mon","107015471745392937976","https://www.google.com/maps/contrib/107015471745392937976/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocL3aL2LiBHSq1JVUP-Ews54mYoTH8cHiQoPkonchArCqb-0bg=w36-h36-p-rp-mo-ba12-br100",1,11,7,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURJazVlek5BEAE","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",4,"The new location is a little complicated to find if taking off the express way.
Modern, covenient, & clean dental hospital.
Many skilled doctors & good services.
Moderately high price.","Pretty Sudanee","101665662247706104737","https://www.google.com/maps/contrib/101665662247706104737/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXAofeYumdPZx3-1uImbKBvPMYhxJhKpSllctbE9p4fSRXy02zA=w36-h36-p-rp-mo-ba12-br100",1,385,4572,"Edited 6 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURndWJHcTd3RRAB","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",2,"I've always found it too be excellent. You pay probably the highest prices in Bangkok there, but to me it's worth it.

Edit: they have now moved to the new location - all very posh.
Came for wisdom tooth removal and while the doctor seemed to have done a good job, they charged me way more than it is stated for surgical removal in the price leaflet I got handed. They argued wisdom tooth is different. Very misleading.
Overall very unfriendly. Very business feel.

On that note: initial counseling suggested to pretty much redo all my teeth.
Lucky at least the specialist was much nicer and told me there is absolutely no rush.

Very disappointed with how they developed 😞
ladies at the counter were as unfriendly as one can imagine.

As other comments say it's a money grab and as I hear from friends now they did a terrible job to them 😭","Joe Bright","111198367182712082835","https://www.google.com/maps/contrib/111198367182712082835/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWl3emlOa8qMRP7trnsMg_vEulsMuUnOKWKsQT7OyvRaIBrcY0=w36-h36-p-rp-mo-ba12-br100",1,152,13,"Edited a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURqMy03allBEAE","0x30e29e553294ea33:0xf7ebe332f7b3d967","Dental Hospital",4,"I have been using the clinic for more than 20 years. I rate the doctors' performance 4.5-5 stars.
Today, May 2024, 5 stars. Very short waiting time, comprehensive discussion about how the affected tooth can be preserved and very good execution of the treatment plan. Invoicing also only took a very short time.

You can get a price list from the clinic that provides extensive information about costs. From my point of view the price-performance ratio is right.","Rolo","110109429405616828482","https://www.google.com/maps/contrib/110109429405616828482/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKsPFS1lX_YEnMHScUdoa1W871R8uxlqLv_De4Vtpb7ZP3SOA=w36-h36-p-rp-mo-br100",0,1,0,"2 years ago","","relevant"
