"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"Ci9DQUlRQUNvZENodHljRjlvT2t0VldGWllWSEpGWDJoTmVuSnBla1ZzYWkxT1NsRRAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",4,"👍The hospital is well decorated and located right in the center of Bangkok city easily noticed on the main street.

👍The reception welcomed me with hospitality.  Moreover, its parking space is provided sufficiently.

😵‍💫However, although I reached the hospital on time, it took me about an hour to wait to see the doctor with a prior appointment. Besides, when I was supposed to do 2 scanning tests on another floor, it took me a while more to wait for getting such tests.

😵‍💫The hospital has also changed contract terms with some health insurance companies which ended up with me having to pay the hospital myself and have to take all the documents to deal with the insurance company on my own afterwards.","Atchariya S.","113782309388106070187","https://www.google.com/maps/contrib/113782309388106070187/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVw16SJ9IQAj6g8uurE1g1lW2GFlqnsNuG3LlfipvCj6Ghy9H6-=w36-h36-p-rp-mo-ba12-br100",1,15,119,"Edited 7 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21ScGJtNVNNamR5U1dkM1JHNTZaVzAxVWxOcVkwRRAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",5,"I came to MedPark Hospital with a lumbar disc herniation that caused strong pain and limited mobility. Medical options on Samui are very much limited, so I chose MedPark in BKK for its spine team and clear treatment structure, and my case went under the care of Dr Chaiyot Thiranont.

The surgery went well. The surgical team, inpatient unit and nursing staff worked with clear organisation, and anaesthesia was handled with care. I woke up comfortably and without side effects. Recovery after the procedure moved forward without complications.

About a month later a recurrence appeared and brought pain again, which changed the direction of my recovery. During the consultation, Dr Chaiyot suggested an individual rehabilitation plan instead of another surgery and supervised every step himself. Physiotherapy continued for two months and resulted in full resolution of the herniation (an operable case), confirmed by MRI, together with significant improvement of the affected nerve.

This was my first surgery in life, and I am grateful that it was performed by such a skilled professional. I am also grateful that we avoided a second procedure, which highlights the level of expertise Dr Chaiyot brings to his work — a rare quality in general medical practice.

I received clear guidance on long-term physical activity, and I have now completed my treatment as a patient at the hospital. The outcome was successful, thanks to the structured, attentive work of Dr Chaiyot. I would like to thank him, as well as the teams from the orthopedic department, the surgical unit and the physiotherapy department, for their professional support. Thank you very much 🙏🏼","Sonja Nova","109051865134285180406","https://www.google.com/maps/contrib/109051865134285180406/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW8p5k3yKW-C1Km362doB6GukuXFsxoaTCnTPqHjYgfYQZGCkGQ=w36-h36-p-rp-mo-ba12-br100",1,271,879,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xwRFh6aGxYM0J0TUdacFkyaFhjSEJQV2poemMxRRAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",5,"Baby delivery at this hospital was a best experience ever for me. Very professional, smooth, amazing service, great rooms and care for the mom and baby. Thank you to my doctor Assoc. Prof. Dr. Boonchai Uerpairojkit for helping me safely welcome my baby, it was so smoothly! I also love all the nurses at NICU facility and especially nurse Meow, she was amazing, great at teaching and advising!","6778 SH","110268260176685198244","https://www.google.com/maps/contrib/110268260176685198244/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjW2ztnexxGKYDGvlkw_HM6LuHvR26pw_DmtNxIwRY8KJ0kI-TP3=w36-h36-p-rp-mo-br100",0,237,541,"10 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25GQ1VHTnVTVkJwVTFSRFFVY3hWbXRrTTBsS2QyYxAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",5,"One of the top-tier hospital in Bangkok, Thailand. Higher price come with great building design and service. Praram 4 road traffic usually jam at 5 PM.","zatons siri","106198104171272685657","https://www.google.com/maps/contrib/106198104171272685657/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUe5oH5z55oEJUH4hdKYSMCHQW4jAc-IGF3tb3T9UtxPHcELOJf6g=w36-h36-p-rp-mo-ba12-br100",1,323,1065,"7 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25aVVZURnhjR05sTFZGclJWOXRjbHB6T0VaVFltYxAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",5,"I didn’t expect that we will have emergency stay with MedPark Hospital but truly appreciated that our experience with professional Drs & nurses here ! Everything here deserves the 5 stars . Will continue choose MedPark Hospital as long as we stay in Bangkok.","V Yao","108906482480642082712","https://www.google.com/maps/contrib/108906482480642082712/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVk0_70gtpG6DrVYTyOYj64Vqy7a1KZqQKTf4IoDDXgYMe-etzIcw=w36-h36-p-rp-mo-ba12-br100",1,425,2198,"8 months ago","","relevant"
"ChdDSUhNMG9nS0VQR1Y1STJOM2JfUHVBRRAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",4,"Very relaxed atmosphere, which is a good thing since it doesn’t exactly feel much like a hospital, making it a calmer environment for stressed patients! Good doctor but outpatient care fee is overpriced. The customer service is not bad. Overall, this is a high quality hospital with probably one of the best hospital environment in Thailand!","Henry Qi Sheng Lau","117660794313924885423","https://www.google.com/maps/contrib/117660794313924885423/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVEiHDjSgVFKhl2HM_adonuO0eST1_Q8fpifYAmEmsQ4l0h9EFJ=w36-h36-p-rp-mo-ba12-br100",1,28,107,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25sd2R6WlVXVGhWYjA5blREVkJUVFJTU3pKUlFWRRAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",5,"Excellent Service and Exceptional Care!
I recently delivered my baby at the hospital, and I want to express my heartfelt thanks for the wonderful care I received. A special shout-out to Nurse Pam, who went above and beyond to make me and my baby feel safe and supported. She was incredibly professional, patient, and kind—always taking the time to explain each step to me as a new mom. Her calm presence and reassuring words made such a difference during my delivery and recovery. I’m truly grateful for her dedication and compassion. Thank you, Pam, and the entire team for making this experience such a positive one!","Pinn Lewsermsin","106905503422189885515","https://www.google.com/maps/contrib/106905503422189885515/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocJFm86Mu5YjCyvKTcI6wFovIWcG5GU1Rgmu39SlHSI4BgldeQ=w36-h36-p-rp-mo-br100",0,8,7,"7 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2psa2JEZDZOMmxwU0VsUFpEbDNNVVJ3ZEVsSWNVRRAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",5,"I recently visited MedPark Hospital for my company's annual health checkup, and I couldn't be more impressed. The entire experience was exceptionally smooth and efficient. From the moment I walked in, I was greeted by staff members who were genuinely kind, attentive, and helpful. Everyone was so nice, making what could be a stressful situation much more comfortable.

What truly stood out was how fast the service was. I was seen quickly, tests were processed efficiently, and I received clear information without any unnecessary delays.

Highly recommend for anyone looking for excellent, quick, and friendly medical service.","Muentawan Charnnetivadh","111652171271469393156","https://www.google.com/maps/contrib/111652171271469393156/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVORXJVegmlHLBIXp98pVeBppclVPZ8663H3Mft2IqK6kBk6lkn=w36-h36-p-rp-mo-ba12-br100",1,32,85,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT200elNXMHdVREZJWlhodFdGbE1hSGxLVjFvdGFFRRAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",1,"I wanted to get one treatment package but got another. It's like buying pork and getting chicken. The medical staff was unfair, and the hospital was irresponsible and neglected this case.

This was my first visit because I thought it was a good hospital with attractive pricing packages. I called many times to inquire before deciding to go for a check-up. On the day of my visit, the hospital's management system was not so good, including the staff and nurses. I wanted to get a premarital check-up package, but because I hadn't gotten some vaccine, the doctor chose another package, which I thought covered the package I wanted because I had stated my purpose from the beginning. While I was waiting for the check-up, I asked the nurse, but she told me the doctor's chosen package cost a different price, which was only a few bahts more, so I was okay with that. However, the results I received weren't what I wanted. The doctor seemed to be twisting my arm, perhaps because I lacked medical knowledge, and she should have communicated clearly. The patient only wanted the tests she needed. It wasn't the doctor's treatment plan that required the doctor to perform other tests. The test cost almost 7k baht, but that wasn't what I wanted, so I wasted my money. What I wanted was a 5,600 baht package. In total, that's over 10K baht. If I wanted a new test, why would I have to pay the initial amount for something I didn't need? I could have spent the entire amount at a better hospital or my regular hospital, which was more cost-effective. I think the hospital is unfair, favoring medical personnel and taking advantage of patients. They are negligent in their communication. The hospital has no responsibility and even pushes the blame onto the patients. I am very disappointed with this hospital. But it's like you've already stepped in with your left foot, and now you only need to step in with your right foot to finish. If the hospital had some sympathy and felt sorry for the patients, it would have been much better.","Sasiyaporn Tangthumrongsakkoon","106495853614696334218","https://www.google.com/maps/contrib/106495853614696334218/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXKn2eKRvZYgUXLzPudGG8HWayfiuG75vMqpe5hJCV1XRDj3wE=w36-h36-p-rp-mo-br100",0,5,0,"8 months ago","I wanted to get one treatment package but got another. It's like buying pork and getting chicken. The medical staff was unfair, and the hospital was irresponsible and neglected this case.

This was my first visit because I thought it was a good hospital with attractive pricing packages. I called many times to inquire before deciding to go for a check-up. On the day of my visit, the hospital's management system was not so good, including the staff and nurses. I wanted to get a premarital check-up package, but because I hadn't gotten some vaccine, the doctor chose another package, which I thought covered the package I wanted because I had stated my purpose from the beginning. While I was waiting for the check-up, I asked the nurse, but she told me the doctor's chosen package cost a different price, which was only a few bahts more, so I was okay with that. However, the results I received weren't what I wanted. The doctor seemed to be twisting my arm, perhaps because I lacked medical knowledge, and she should have communicated clearly. The patient only wanted the tests she needed. It wasn't the doctor's treatment plan that required the doctor to perform other tests. The test cost almost 7k baht, but that wasn't what I wanted, so I wasted my money. What I wanted was a 5,600 baht package. In total, that's over 10K baht. If I wanted a new test, why would I have to pay the initial amount for something I didn't need? I could have spent the entire amount at a better hospital or my regular hospital, which was more cost-effective. I think the hospital is unfair, favoring medical personnel and taking advantage of patients. They are negligent in their communication. The hospital has no responsibility and even pushes the blame onto the patients. I am very disappointed with this hospital. But it's like you've already stepped in with your left foot, and now you only need to step in with your right foot to finish. If the hospital had some sympathy and felt sorry for the patients, it would have been much better.","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21sMFprdERjRlUyTVdSMVdYQjFPWGRyTm1WUGFuYxAB","0x30e29f12aaa363f1:0xcefcbb1eecaef925","MedPark Hospital",5,"MedPark is the best-kept secret in Bangkok healthcare. This isn’t just how I feel; it is what I know.

After being diagnosed with an operable cancer, I visited several other hospitals. They all offered a 'one-way' approach that disregarded me as a patient. I was actually on the verge of simply accepting living with cancer as my only option. Then, I called MedPark. I asked for someone who spoke fluent English to help me explore my options.
I was contacted by Ganda B., a man of angelic demeanor who immediately calmed me. I then met Mark L., an action-oriented leader. Within ten minutes, they helped me navigate the first steps—a complete restart of my diagnosis with a fresh perspective. They recommended Dr. Akanae W., a master surgeon and 'magician.' Dr. Akanae truly listened and was never dismissive. He offered options, admitted the difficulty of the case, but remained hopeful. He established a clear plan and formed a team, and I followed it.
A biopsy was essential, yet every other hospital had refused to perform one. Dr. Unchala B. performed it masterfully. This was followed by liver and lymph clearance by Dr. Santi K. and Dr. Sorranut T. Focus then shifted to Dr. Kawin T., the 'kidney master,' and Dr. Sanisara C., who ensured my heart was strong enough for the journey. When surgery arrived, I was in the hands of Dr. Phuphit F., the anesthesiology lead, and Dr. Wittawat T., the assistant surgeon who ensured every detail was perfect.
I wish I could name every doctor and nurse on every floor, but I must specifically mention the nurses on the 21st-floor post-surgery recovery unit. They are God’s unknown helpers, forever known in my heart for their care. The skill of this medical team is outstanding—on par with, if not better than, any institution I have visited in the USA.

The universe gives us purpose; everyone I encountered gave me a reason to keep the chain linked. I am grateful beyond words. I received the best care from the best people. Dr. Akanae, the magician who did the impossible,is here for a purpose: to save others. You and your team saved me. I am humbly thankful. Thank you all. Now, go save the next human.🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿","sam Man","114233157327685205415","https://www.google.com/maps/contrib/114233157327685205415/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLN8ho7l3q3lsACv7DWUTjQo0njexYRHyjjGah_Wlh5CEjYJQ=w36-h36-p-rp-mo-br100",0,7,2,"2 months ago","","relevant"
