"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"ChZDSUhNMG9nS0VJQ0FnSURmeGRiamRREAE","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"A great doctor who speaks English.","Shabu Luna","115148205329542126851","https://www.google.com/maps/contrib/115148205329542126851/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUyc1BIBJPJ50-MZiGiKPaq5ZFo12UCc2Vq11DhUmWkGSI4z4Kk=w36-h36-p-rp-mo-ba12-br100",1,12,12,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT201dVJteDZhRlpPVTNacWNsWXdaRkp1WDBGVE9FRRAB","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"The doctor is excellent! She's very kind, speaks nicely, and diagnoses accurately. I highly recommend this clinic. I took my sister here for treatment and we were very impressed. The clinic is also very clean. I will definitely recommend this place to all my friends.","Supatrtra Gigg","108841106182150654387","https://www.google.com/maps/contrib/108841106182150654387/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjUDIGmOHhMSvsX75JILweJ6tLcSea-B8zYPCS615F6SVwiHSaI=w36-h36-p-rp-mo-br100",0,3,5,"6 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pCUE1GSk5aV1o1Wkc1TlJ6UnRTVnBKY0VkR1EzYxAB","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"I came for a medical certificate. The doctor is very kind.","ดาชญา ลักษณ์ธนากุล","107757794303042934960","https://www.google.com/maps/contrib/107757794303042934960/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocK9rXJm3bRRB27FXRiHEAiSpbvgNci7D3wchNNkTIzfPqPYeQ=w36-h36-p-rp-mo-br100",0,2,1,"3 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xoTVdtOVNNalJhU21jMlRuUllXRE5ITm5kQmFFRRAB","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"It's excellent. I go here regularly when I'm unwell or sick. The doctors are skilled, the clinic is clean, and everyone provides great service.","gevalin teerawong","105358809620085341267","https://www.google.com/maps/contrib/105358809620085341267/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVIIrmmv29RgLYmsi_DCc_iZdHbvwsdB0ejxdCe4s1i9x7TW0w=w36-h36-p-rp-mo-br100",0,2,2,"4 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT21ReVNIbG5kbGRaYTJJeFdVbFZaVzlqVldabWJXYxAB","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"I was very impressed with the (male) doctor. I went for a consultation regarding my whole family's (and my 5-year-old daughter's) medical check-up results.

The doctor was very kind, knowledgeable, and readily answered all my questions. He also provided advice on adjusting to the new environment and diet. Plus, he patiently supervised my daughter even when she was being mischievous during her follow-up appointments. ^^","Rayong Indy","115453884231778572614","https://www.google.com/maps/contrib/115453884231778572614/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX0FpO1Ws6h_gvhhhKNA3MBAHeKdJFUFDK2O7nZYsY4UEoknzM=w36-h36-p-rp-mo-ba12-br100",1,50,18,"9 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2twRFNsOXRaSEZWY1RGcllrbHlVMEpmYmxwMGMxRRAB","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"The doctor is excellent. The treatment and advice were great. She was very patient and I was very impressed. Many questions I'd wondered about for a long time were answered by the doctor until I understood. It also helped me take care of myself correctly. Thank you so much!","Lakkana Wongkhat","113747823228090894334","https://www.google.com/maps/contrib/113747823228090894334/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLMSw-zYUy5CG7x_MhEx1hDf8v0GpQcnPCl34BC_x1I8Sm_Fw=w36-h36-p-rp-mo-br100",0,3,0,"9 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pKU04yeHhVRFZRTlUxbk1sVlNWVXMzWldGZlJXYxAB","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"They answered the phone quickly. My mother said the doctor was gentle and provided good service. Thank you very much!","Chu Anonsaming","116360388352278250832","https://www.google.com/maps/contrib/116360388352278250832/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKy0ACbneBq0rcVWpZOKQbQ3H8KJNvhMFKBhtHIBMIS3m5fnw=w36-h36-p-rp-mo-ba12-br100",1,292,1111,"7 months ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnTURvNkpXMmlnRRAB","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"The consultation was excellent, and the diagnosis was very accurate. Thank you so much! I'm feeling much better now. 🙏💖 …","Golf Autotrade","113689663672331704021","https://www.google.com/maps/contrib/113689663672331704021/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWLRlmpkdMtfIQaNEvbVdefKoONghWUNBkUNExx1pw0LzYV0Mo=w36-h36-p-rp-mo-br100",0,3,5,"a year ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnTURRcWNPMmZ3EAE","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"The doctor was very kind, calm, and gave excellent advice. The treatment and medication were effective. In short, everything was great.","Vicky Preecha","115750784831765194632","https://www.google.com/maps/contrib/115750784831765194632/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocLLuNHWNtXrBMcLI7ZAQQfmD89jJ5NXWbk35uLaJLnj7GOrHQ=w36-h36-p-rp-mo-br100",0,2,0,"a year ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSURKb2NhSGtBRRAB","0x30da35dba35770f9:0xc97a20c541b06464","คลินิกเวชกรรมบ้านหมอ",5,"The doctor was very kind and gave excellent advice. I took my mother for treatment; the examination was thorough and the recommendations were great. The reception staff were also very polite and took good care of us. Excellent service!","Nattapong Kantanate","104203225508261888756","https://www.google.com/maps/contrib/104203225508261888756/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXzVW4u5Cn6lxktOICzb0qKynOM2ijAoBwIhe6MWtTu8a4bI17b=w36-h36-p-rp-mo-br100",0,10,4,"2 years ago","","relevant"
